month_name,month,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
July,7,6017.522,5738.018,5794.152,5750.581,5900.764,5295.843,5686.927,5768.141,5954.719,5759.076,5722.289,5699.897,5873.943,5728.887,6151.217,5866.845,5984.949,5711.271,5970.076,5871.921,5789.266,6054.295,6131.619,5840.350,5715.880,5892.800,5795.332,5635.025,5659.631,5786.574,5629.025,5769.088,5825.133,5624.964,5460.440,5547.864,5865.614,5863.088,5335.450,5194.670,5470.899,5849.896,5106.621,5354.080,5294.446,5327.849
August,8,5575.828,5648.322,5440.915,4927.764,4848.330,5139.204,5645.370,5234.812,5560.556,5383.958,5494.330,5520.544,5468.018,5255.176,5367.274,5385.130,5322.658,5455.542,5488.852,5440.090,5665.550,5260.483,5583.161,5834.750,5206.792,5580.544,5297.575,5552.483,5306.913,5368.480,5395.146,5575.019,5624.791,5226.619,5213.167,5396.779,5445.643,5459.628,5238.913,5128.078,5284.511,5135.672,5103.354,4872.348,4936.069,5125.914
September,9,4826.339,4968.667,4787.787,4770.207,4504.192,4618.572,5037.008,5053.340,4880.564,5074.447,4878.810,4847.983,4687.479,4750.228,5047.154,4680.435,4814.740,4787.307,4402.961,4914.342,4770.313,5023.510,4898.792,4793.601,4811.461,5007.318,5035.524,4917.872,4908.300,4827.993,4780.132,4990.236,4730.843,4622.095,4937.765,4723.660,4462.423,4808.227,4619.310,4656.980,4676.210,4649.628,4504.233,4038.972,4354.235,4577.048
October,10,4266.869,4355.570,4366.746,4218.604,4002.615,4332.199,4163.520,4233.320,3754.857,4128.169,4286.352,4361.147,4249.411,4098.055,4126.835,4300.103,4359.709,4344.456,4524.601,4462.696,4450.140,4014.319,4136.687,4302.840,4257.705,4072.621,4294.546,4271.740,4417.714,4411.653,4365.981,4147.167,4363.770,4313.264,4451.932,4155.476,3933.891,4185.278,4097.112,3952.337,4350.791,3923.849,3676.156,3465.888,3659.412,3493.818
November,11,3413.195,3416.765,3215.878,2934.305,3352.741,3122.283,3151.902,3364.272,3342.025,3233.065,3388.460,3419.558,3354.814,3337.387,3173.731,3375.273,3275.540,3353.372,3164.955,3341.942,3342.236,3435.191,3183.152,3253.259,3146.273,3267.190,3205.566,3345.362,3124.317,3268.697,3267.477,3523.776,3300.513,3288.679,3147.638,3465.869,3482.473,3277.781,2800.053,3206.549,3140.467,3043.826,2930.382,3196.045,2972.549,3058.488
December,12,2971.823,2933.527,2849.213,2806.210,2826.702,2477.813,2791.809,2876.338,2926.505,3060.106,2967.723,3084.261,2541.648,2751.367,3026.204,2555.033,2836.475,2808.175,2969.786,3113.028,3106.988,2977.159,3006.167,2889.771,2948.234,2846.066,2797.617,3088.235,3120.081,2778.418,2768.796,2554.512,3016.172,2883.606,2991.273,2493.442,3107.195,2741.825,2907.116,2602.244,2459.082,2694.987,2462.389,2572.176,2558.199,2691.409
January,1,2714.328,2656.717,2970.941,3284.117,3131.393,3193.592,3062.875,3136.720,3358.708,3080.421,3380.745,3343.655,3031.412,3068.478,2664.780,3255.462,2760.842,3117.972,2973.925,3258.696,3226.861,3058.414,3047.039,3181.469,3228.928,3171.549,2936.098,3395.747,3301.870,3170.481,3352.168,3004.590,3394.190,3231.613,3256.972,3142.640,3031.329,3051.921,2858.864,3000.712,2759.834,3183.755,2910.787,2902.468,2712.847,2698.188
February,2,3735.626,3545.052,3620.400,3448.873,3160.309,3896.390,3568.117,3518.447,3530.904,3768.219,3616.793,3716.343,3542.778,3443.684,3379.872,3506.707,3499.259,3406.871,3757.977,3293.945,3690.695,3527.164,3497.737,3689.360,3323.548,3723.916,3012.827,3584.950,3649.932,3849.113,3618.473,3641.574,3856.780,3958.347,3994.334,3547.513,3762.636,4065.485,3121.526,3592.827,3311.101,3664.962,3623.902,3631.944,3463.462,3236.475
March,3,4810.370,5258.623,5037.142,4861.743,4837.243,5291.059,5087.508,4901.252,5132.483,5489.792,5169.531,5106.425,5069.632,4772.820,5041.553,4974.575,4969.599,5224.917,5346.072,5122.800,5334.196,5115.813,5080.847,5246.804,5251.498,5158.186,5157.157,4885.036,4977.744,5448.979,5470.336,5268.375,5221.330,5287.332,5128.953,5149.013,4992.375,5258.481,5136.149,4644.883,4650.310,4670.844,5070.559,4925.037,4284.597,4553.633
April,4,5961.863,5737.995,5794.387,5828.386,5924.370,5799.889,5714.442,5844.085,5700.288,5565.915,5740.053,5506.862,6056.749,5530.402,5815.443,5622.814,5890.300,5989.279,5829.293,6032.808,5845.500,5950.403,5950.974,5683.779,6052.483,5818.178,5828.442,5706.439,5650.432,6078.938,5893.353,5781.675,5938.134,5795.161,5940.570,5725.796,5938.811,5650.029,5775.571,5469.499,5423.925,5366.822,5456.469,5581.032,5520.189,5586.184
May,5,6347.602,6526.700,6310.989,6469.408,6489.248,6223.380,6213.031,6375.462,6256.308,6557.001,6504.515,6418.713,6658.292,6035.073,6306.300,6361.884,6463.525,6470.785,5924.143,6486.025,6514.688,6428.238,6221.718,6261.153,6280.008,6548.908,6368.753,6163.998,6406.258,6473.390,6086.451,6621.864,6590.972,6559.945,6354.445,6332.045,6277.372,6465.999,6334.179,6231.247,5999.749,6200.742,6236.460,6176.332,6013.772,6047.004
June,6,6221.837,6201.562,6016.834,6388.981,6266.804,5963.842,6119.638,5910.311,6040.634,6191.852,6177.111,5930.776,6196.373,6190.978,6222.503,6009.225,6352.940,6211.166,6242.611,6489.363,6232.132,5936.586,6062.360,6057.633,6344.362,6284.309,6327.404,5573.704,6146.823,6083.203,5967.966,6241.011,6323.713,6307.257,6130.682,6173.612,5933.336,6076.874,6207.507,5852.272,5778.016,6058.870,5565.514,5709.131,5976.229,5621.163
